day,num_clients,num_samples
2018-04-30,18,18
2018-05-01,18,18
2018-05-02,18,18
2018-05-03,17,17
2018-05-04,17,17
2018-05-05,17,17
2018-05-06,17,17
2018-05-07,17,17
2018-05-08,17,17
2018-05-09,17,17
2018-05-10,17,17
2018-05-11,17,17
2018-05-12,17,17
2018-05-13,16,16
2018-05-14,16,16
2018-05-15,16,16
2018-05-16,16,16
2018-05-17,16,16
2018-05-18,16,16
2018-05-19,16,16
2018-05-20,16,16
2018-05-21,16,16
2018-05-22,16,16
2018-05-23,16,16
2018-05-24,16,16
2018-05-25,15,15
2018-05-26,15,15
2018-05-27,15,15
2018-05-28,15,15
2018-05-29,15,15
2018-05-30,14,14
2018-05-31,13,13
2018-06-01,13,13
2018-06-02,12,12
2018-06-03,12,12
2018-06-04,11,11
2018-06-05,11,11
2018-06-06,11,11
2018-06-07,11,11
2018-06-08,11,11
2018-06-09,11,11
2018-06-10,10,10
2018-06-11,9,9
2018-06-12,9,9
